CODIGO,ATIVIDADE,ESCORE,RACIONAL
133400,"CULTIVO DE FRUTAS DE LAVOURA PERMANENTE, EXCETO LARANJA E UVA",10,Risco remoto de envolvimento com atividades ilIcitas
133401,CULTIVO DE ACAI,10,Risco remoto de envolvimento com atividades ilIcitas
133402,CULTIVO DE BANANA,10,Risco remoto de envolvimento com atividades ilIcitas
133403,CULTIVO DE CAJU,10,Risco remoto de envolvimento com atividades ilIcitas
133404,"CULTIVO DE CITRICOS, EXCETO LARANJA",10,Risco remoto de envolvimento com atividades ilIcitas
133405,CULTIVO DE COCO-DA-BAIA,10,Risco remoto de envolvimento com atividades ilIcitas
133406,CULTIVO DE GUARANA,10,Risco remoto de envolvimento com atividades ilIcitas
133407,CULTIVO DE MACA,10,Risco remoto de envolvimento com atividades ilIcitas
133408,CULTIVO DE MAMAO,10,Risco remoto de envolvimento com atividades ilIcitas
133409,CULTIVO DE MARACUJA,10,Risco remoto de envolvimento com atividades ilIcitas
133410,CULTIVO DE MANGA,10,Risco remoto de envolvimento com atividades ilIcitas
133411,CULTIVO DE PESSEGO,10,Risco remoto de envolvimento com atividades ilIcitas
133499,CULTIVO FRUTAS DE LAVOURA PERMANENTE NAO ESPECIFICADAS ANTERIOR,10,Risco remoto de envolvimento com atividades ilIcitas
134200,CULTIVO DE CAFE,10,Risco remoto de envolvimento com atividades ilIcitas
135100,CULTIVO DE CACAU,10,Risco remoto de envolvimento com atividades ilIcitas
139300,CULTIVO PLANTAS LAVOURA PERMANENTE NAO ESPECIFICADAS ANTERIOR,10,Risco remoto de envolvimento com atividades ilIcitas
139301,CULTIVO DE CHA-DA-INDIA,10,Risco remoto de envolvimento com atividades ilIcitas
139302,CULTIVO DE ERVA-MATE,10,Risco remoto de envolvimento com atividades ilIcitas
139303,CULTIVO DE PIMENTA-DO-REINO,10,Risco remoto de envolvimento com atividades ilIcitas
139304,"CULTIVO DE PLANTAS PARA CONDIMENTO, EXCETO PIMENTA-DO-REINO",10,Risco remoto de envolvimento com atividades ilIcitas
139305,CULTIVO DE DENDE,10,Risco remoto de envolvimento com atividades ilIcitas
139306,CULTIVO DE SERINGUEIRA,10,Risco remoto de envolvimento com atividades ilIcitas
139399,CULTIVO OUTRAS PLANTAS LAVOURA PERMANENTE NAO ESPECIF ANTERIOR,10,Risco remoto de envolvimento com atividades ilIcitas
141500,PRODUCAO DE SEMENTES CERTIFICADAS,10,Risco remoto de envolvimento com atividades ilIcitas
141501,PRODUCAO SEMENTES CERTIFICADAS EXCETO DE FORRAGEIRAS PARA PASTO,10,Risco remoto de envolvimento com atividades ilIcitas
141502,PRODUCAO SEMENTES CERTIFICADAS FORRAGEIRAS PARA FORMACAO PASTO,10,Risco remoto de envolvimento com atividades ilIcitas
142300,"PRODUCAO MUDAS E OUTRAS FORMAS PROPAGACAO VEGETAL, CERTIFICADAS",10,Risco remoto de envolvimento com atividades ilIcitas
150300,PRODUCAO MISTA LAVOURA E PECUARIA,70,Risco de envolvimento com crime organizado e lavagem de dinheiro
151200,CRIACAO DE BOVINOS,70,Risco de envolvimento com crime organizado e lavagem de dinheiro
151201,CRIACAO DE BOVINOS PARA CORTE,70,Risco de envolvimento com crime organizado e lavagem de dinheiro
151202,CRIACAO DE BOVINOS PARA LEITE,10,Risco remoto de envolvimento com atividades ilIcitas
151203,"CRIACAO DE BOVINOS, EXCETO PARA CORTE E LEITE",70,Risco de envolvimento com crime organizado e lavagem de dinheiro
152100,CRIACAO DE OUTROS ANIMAIS DE GRANDE PORTE,70,Risco de envolvimento com crime organizado e lavagem de dinheiro
152101,CRIACAO DE BUFALINOS,10,Risco remoto de envolvimento com atividades ilIcitas
152102,CRIACAO DE EQUINOS,80,Risco de envolvimento com crime organizado e lavagem de dinheiro
152103,CRIACAO DE ASININOS E MUARES,10,Risco remoto de envolvimento com atividades ilIcitas
153900,CRIACAO DE CAPRINOS E OVINOS,10,Risco remoto de envolvimento com atividades ilIcitas
153901,CRIACAO DE CAPRINOS,10,Risco remoto de envolvimento com atividades ilIcitas
153902,"CRIACAO DE OVINOS, INCLUSIVE PARA PRODUCAO DE LA",10,Risco remoto de envolvimento com atividades ilIcitas
154700,CRIACAO DE SUINOS,10,Risco remoto de envolvimento com atividades ilIcitas
155500,CRIACAO DE AVES,10,Risco remoto de envolvimento com atividades ilIcitas
155501,CRIACAO DE FRANGOS PARA CORTE,10,Risco remoto de envolvimento com atividades ilIcitas
155502,PRODUCAO DE PINTOS DE UM DIA,10,Risco remoto de envolvimento com atividades ilIcitas
155503,"CRIACAO DE OUTROS GALINACEOS, EXCETO PARA CORTE",10,Risco remoto de envolvimento com atividades ilIcitas
155504,"CRIACAO DE AVES, EXCETO GALINACEOS",10,Risco remoto de envolvimento com atividades ilIcitas
155505,PRODUCAO DE OVOS,10,Risco remoto de envolvimento com atividades ilIcitas
159800,CRIACAO DE ANIMAIS NAO ESPECIFICADOS ANTERIORMENTE,10,Risco remoto de envolvimento com atividades ilIcitas
159801,APICULTURA,10,Risco remoto de envolvimento com atividades ilIcitas
159802,CRIACAO DE ANIMAIS DE ESTIMACAO,10,Risco remoto de envolvimento com atividades ilIcitas
159803,CRIACAO DE ESCARGO,10,Risco remoto de envolvimento com atividades ilIcitas
159804,CRIACAO DE BICHO-DA-SEDA,10,Risco remoto de envolvimento com atividades ilIcitas
159899,CRIACAO DE OUTROS ANIMAIS NAO ESPECIFICADOS ANTERIORMENTE,10,Risco remoto de envolvimento com atividades ilIcitas
161000,ATIVIDADES DE APOIO A AGRICULTURA,10,Risco remoto de envolvimento com atividades ilIcitas
161001,SERVICO DE PULVERIZACAO E CONTROLE DE PRAGAS AGRICOLAS,10,Risco remoto de envolvimento com atividades ilIcitas
161002,SERVICO DE PODA DE ARVORES PARA LAVOURAS,10,Risco remoto de envolvimento com atividades ilIcitas
161003,"SERVICO DE PREPARACAO DE TERRENO, CULTIVO E COLHEITA",10,Risco remoto de envolvimento com atividades ilIcitas
161099,ATIVIDADES APOIO A AGRICULTURA NAO ESPECIFICADAS ANTERIORMENTE,10,Risco remoto de envolvimento com atividades ilIcitas
162800,ATIVIDADES DE APOIO A PECUARIA,10,Risco remoto de envolvimento com atividades ilIcitas
162801,SERVICO DE INSEMINACAO ARTIFICIAL EM ANIMAIS,10,Risco remoto de envolvimento com atividades ilIcitas
162802,SERVICO DE TOSQUIAMENTO DE OVINOS,10,Risco remoto de envolvimento com atividades ilIcitas
162803,SERVICO DE MANEJO DE ANIMAIS,10,Risco remoto de envolvimento com atividades ilIcitas
162899,ATIVIDADES DE APOIO A PECUARIA NAO ESPECIFICADAS ANTERIORMENTE,10,Risco remoto de envolvimento com atividades ilIcitas
163600,ATIVIDADES DE POS-COLHEITA,10,Risco remoto de envolvimento com atividades ilIcitas
170900,CACA E SERVICOS RELACIONADOS,80,Risco de envolvimento com crime organizado e crimes ambientais
210100,PRODUCAO FLORESTAL - FLORESTAS PLANTADAS,10,Risco remoto de envolvimento com atividades ilIcitas
210101,CULTIVO DE EUCALIPTO,10,Risco remoto de envolvimento com atividades ilIcitas
210102,CULTIVO DE ACACIA-NEGRA,10,Risco remoto de envolvimento com atividades ilIcitas
210103,CULTIVO DE PINUS,10,Risco remoto de envolvimento com atividades ilIcitas
210104,CULTIVO DE TECA,10,Risco remoto de envolvimento com atividades ilIcitas
210105,CULT ESPECIES MADEIR EXCETO EUCALIPTO ACACIA-NEGRA PINUS E TECA,10,Risco remoto de envolvimento com atividades ilIcitas
210106,CULTIVO DE MUDAS EM VIVEIROS FLORESTAIS,10,Risco remoto de envolvimento com atividades ilIcitas
210107,EXTRACAO DE MADEIRA EM FLORESTAS PLANTADAS,10,Risco remoto de envolvimento com atividades ilIcitas
210108,PRODUCAO DE CARVAO VEGETAL - FLORESTAS PLANTADAS,10,Risco remoto de envolvimento com atividades ilIcitas
210109,PRODUCAO DE CASCA DE ACACIA-NEGRA - FLORESTAS PLANTADAS,10,Risco remoto de envolvimento com atividades ilIcitas
210199,PROD PROD NAO-MADEIRA NAO ESPEC ANTERIOR EM FLORESTAS PLANTADAS,10,Risco remoto de envolvimento com atividades ilIcitas
220900,PRODUCAO FLORESTAL - FLORESTAS NATIVAS,80,Risco de envolvimento com crime organizado e crimes ambientais
220901,EXTRACAO DE MADEIRA EM FLORESTAS NATIVAS,80,Risco de envolvimento com crime organizado e crimes ambientais
220902,PRODUCAO DE CARVAO VEGETAL - FLORESTAS NATIVAS,80,Risco de envolvimento com crime organizado e crimes ambientais
220903,COLETA DE CASTANHA-DO-PARA EM FLORESTAS NATIVAS,10,Risco remoto de envolvimento com atividades ilIcitas
220904,COLETA DE LATEX EM FLORESTAS NATIVAS,80,Risco de envolvimento com crime organizado e crimes ambientais
220905,COLETA DE PALMITO EM FLORESTAS NATIVAS,80,Risco de envolvimento com crime organizado e crimes ambientais
220906,CONSERVACAO DE FLORESTAS NATIVAS,10,Risco remoto de envolvimento com atividades ilIcitas
220999,COLETA PROD NAO-MADEIRA NAO ESPEC ANTERIOR EM FLORESTA NATIVA,80,Risco de envolvimento com crime organizado e crimes ambientais
230600,ATIVIDADES DE APOIO A PRODUCAO FLORESTAL,10,Risco remoto de envolvimento com atividades ilIcitas
311600,PESCA EM AGUA SALGADA,10,Risco remoto de envolvimento com atividades ilIcitas
311601,PESCA DE PEIXES EM AGUA SALGADA,10,Risco remoto de envolvimento com atividades ilIcitas
311602,PESCA DE CRUSTACEOS E MOLUSCOS EM AGUA SALGADA,10,Risco remoto de envolvimento com atividades ilIcitas
311603,COLETA DE OUTROS PRODUTOS MARINHOS,10,Risco remoto de envolvimento com atividades ilIcitas
311604,ATIVIDADES DE APOIO A PESCA EM AGUA SALGADA,10,Risco remoto de envolvimento com atividades ilIcitas
312400,PESCA EM AGUA DOCE,10,Risco remoto de envolvimento com atividades ilIcitas
312401,PESCA DE PEIXES EM AGUA DOCE,10,Risco remoto de envolvimento com atividades ilIcitas
312402,PESCA DE CRUSTACEOS E MOLUSCOS EM AGUA DOCE,10,Risco remoto de envolvimento com atividades ilIcitas
312403,COLETA DE OUTROS PRODUTOS AQUATICOS DE AGUA DOCE,10,Risco remoto de envolvimento com atividades ilIcitas
312404,ATIVIDADES DE APOIO A PESCA EM AGUA DOCE,10,Risco remoto de envolvimento com atividades ilIcitas
321300,AQUICULTURA EM AGUA SALGADA E SALOBRA,10,Risco remoto de envolvimento com atividades ilIcitas
321301,CRIACAO DE PEIXES EM AGUA SALGADA E SALOBRA,10,Risco remoto de envolvimento com atividades ilIcitas
321302,CRIACAO DE CAMAROES EM AGUA SALGADA E SALOBRA,10,Risco remoto de envolvimento com atividades ilIcitas
321303,CRIACAO DE OSTRAS E MEXILHOES EM AGUA SALGADA E SALOBRA,10,Risco remoto de envolvimento com atividades ilIcitas
321304,CRIACAO DE PEIXES ORNAMENTAIS EM AGUA SALGADA E SALOBRA,10,Risco remoto de envolvimento com atividades ilIcitas
321305,ATIVIDADES DE APOIO A AQUICULTURA EM AGUA SALGADA E SALOBRA,10,Risco remoto de envolvimento com atividades ilIcitas
321399,CULT SEMICULT AQUICULT AGUA SALGADA E SALOBRA NAO ESPEC ANTERIOR,10,Risco remoto de envolvimento com atividades ilIcitas
322100,AQUICULTURA EM AGUA DOCE,10,Risco remoto de envolvimento com atividades ilIcitas
322101,CRIACAO DE PEIXES EM AGUA DOCE,10,Risco remoto de envolvimento com atividades ilIcitas
322102,CRIACAO DE CAMAROES EM AGUA DOCE,10,Risco remoto de envolvimento com atividades ilIcitas
322103,CRIACAO DE OSTRAS E MEXILHOES EM AGUA DOCE,10,Risco remoto de envolvimento com atividades ilIcitas
322104,CRIACAO DE PEIXES ORNAMENTAIS EM AGUA DOCE,10,Risco remoto de envolvimento com atividades ilIcitas
322105,RANICULTURA,10,Risco remoto de envolvimento com atividades ilIcitas
322106,CRIACAO DE JACARE,10,Risco remoto de envolvimento com atividades ilIcitas
322107,ATIVIDADES DE APOIO A AQUICULTURA EM AGUA DOCE,10,Risco remoto de envolvimento com atividades ilIcitas
322199,CULT SEMICULT AQUICULTURA AGUA DOCE NAO ESPECI ANTERIORMENTE,10,Risco remoto de envolvimento com atividades ilIcitas
500300,EXTRACAO DE CARVAO MINERAL,50,Risco de envolvimento com crimes ambientais
500301,EXTRACAO DE CARVAO MINERAL,50,Risco de envolvimento com crimes ambientais
500302,BENEFICIAMENTO DE CARVAO MINERAL,50,Risco de envolvimento com crimes ambientais
600000,EXTRACAO DE PETROLEO E GAS NATURAL,10,Risco remoto de envolvimento com atividades ilIcitas
600001,EXTRACAO DE PETROLEO E GAS NATURAL,10,Risco remoto de envolvimento com atividades ilIcitas
600002,EXTRACAO E BENEFICIAMENTO DE XISTO,10,Risco remoto de envolvimento com atividades ilIcitas
600003,EXTRACAO E BENEFICIAMENTO DE AREIAS BETUMINOSAS,10,Risco remoto de envolvimento com atividades ilIcitas
710300,EXTRACAO DE MINERIO DE FERRO,10,Risco remoto de envolvimento com atividades ilIcitas
710301,EXTRACAO DE MINERIO DE FERRO,10,Risco remoto de envolvimento com atividades ilIcitas
710302,"PELOTIZACAO, SINTERIZACAO OUTROS BENEF DE MINERIO DE FERRO",10,Risco remoto de envolvimento com atividades ilIcitas
721900,EXTRACAO DE MINERIO DE ALUMINIO,10,Risco remoto de envolvimento com atividades ilIcitas
721901,EXTRACAO DE MINERIO DE ALUMINIO,10,Risco remoto de envolvimento com atividades ilIcitas
721902,BENEFICIAMENTO DE MINERIO DE ALUMINIO,10,Risco remoto de envolvimento com atividades ilIcitas
722700,EXTRACAO DE MINERIO DE ESTANHO,10,Risco remoto de envolvimento com atividades ilIcitas
722701,EXTRACAO DE MINERIO DE ESTANHO,10,Risco remoto de envolvimento com atividades ilIcitas
722702,BENEFICIAMENTO DE MINERIO DE ESTANHO,10,Risco remoto de envolvimento com atividades ilIcitas
723500,EXTRACAO DE MINERIO DE MANGANES,10,Risco remoto de envolvimento com atividades ilIcitas
723501,EXTRACAO DE MINERIO DE MANGANES,10,Risco remoto de envolvimento com atividades ilIcitas
723502,BENEFICIAMENTO DE MINERIO DE MANGANES,10,Risco remoto de envolvimento com atividades ilIcitas
724300,EXTRACAO DE MINERIO DE METAIS PRECIOSOS,80,Risco de envolvimento com crime organizado e crimes ambientais
724302,BENEFICIAMENTO DE MINERIO DE METAIS PRECIOSOS,80,Risco de envolvimento com crime organizado e crimes ambientais
725100,EXTRACAO DE MINERAIS RADIOATIVOS,10,Risco remoto de envolvimento com atividades ilIcitas
729400,EXTRACAO MINERAIS METALICOS NAO-FERROSOS NAO ESPECI ANTERIOR,10,Risco remoto de envolvimento com atividades ilIcitas
729401,EXTRACAO DE MINERIOS DE NIOBIO E TITANIO,10,Risco remoto de envolvimento com atividades ilIcitas
729402,EXTRACAO DE MINERIO DE TUNGSTENIO,10,Risco remoto de envolvimento com atividades ilIcitas
729403,EXTRACAO DE MINERIO DE NIQUEL,10,Risco remoto de envolvimento com atividades ilIcitas
729404,EXT MIN COBRE CHMBO ZNCO OUTR MIN MET NAO-FERRO NAO ESPEC ANTER,10,Risco remoto de envolvimento com atividades ilIcitas
729405,BNFC MIN CBRE CHMBO ZNCO OUTR MIN MET NAO-FERRO NAO ESPEC ANTER,10,Risco remoto de envolvimento com atividades ilIcitas
810000,"EXTRACAO DE PEDRA, AREIA E ARGILA",10,Risco remoto de envolvimento com atividades ilIcitas
810001,EXTRACAO DE ARDOSIA E BENEFICIAMENTO ASSOCIADO,10,Risco remoto de envolvimento com atividades ilIcitas
810002,EXTRACAO DE GRANITO E BENEFICIAMENTO ASSOCIADO,10,Risco remoto de envolvimento com atividades ilIcitas
810003,EXTRACAO DE MARMORE E BENEFICIAMENTO ASSOCIADO,10,Risco remoto de envolvimento com atividades ilIcitas
810004,EXTRACAO DE CALCARIO E DOLOMITA E BENEFICIAMENTO ASSOCIADO,10,Risco remoto de envolvimento com atividades ilIcitas
810005,EXTRACAO DE GESSO E CAULIM,10,Risco remoto de envolvimento com atividades ilIcitas
810006,EXTRACAO AREIA CASCALHO OU PEDREGULHO E BENEFICIAMENTO ASSOCIADO,10,Risco remoto de envolvimento com atividades ilIcitas
810007,EXTRACAO DE ARGILA E BENEFICIAMENTO ASSOCIADO,10,Risco remoto de envolvimento com atividades ilIcitas
810008,EXTRACAO DE SAIBRO E BENEFICIAMENTO ASSOCIADO,10,Risco remoto de envolvimento com atividades ilIcitas
810009,EXTRACAO DE BASALTO E BENEFICIAMENTO ASSOCIADO,10,Risco remoto de envolvimento com atividades ilIcitas
810010,BENEFICIAMENTO DE GESSO E CAULIM ASSOCIADO A EXTRACAO,10,Risco remoto de envolvimento com atividades ilIcitas
810099,EXTR BRIT PEDRAS OUTR MATERIAIS PARA CONSTRUCAO BENEF ASSOCIADO,10,Risco remoto de envolvimento com atividades ilIcitas
891600,EXTRACAO MINERAIS P/FABRICACAO ADUBOS FERTLZ OUTR PROD QUIMICOS,10,Risco remoto de envolvimento com atividades ilIcitas
892400,EXTRACAO E REFINO DE SAL MARINHO E SAL-GEMA,10,Risco remoto de envolvimento com atividades ilIcitas
892401,EXTRACAO DE SAL MARINHO,10,Risco remoto de envolvimento com atividades ilIcitas
892402,EXTRACAO DE SAL-GEMA,10,Risco remoto de envolvimento com atividades ilIcitas
892403,REFINO E OUTROS TRATAMENTOS DO SAL,10,Risco remoto de envolvimento com atividades ilIcitas
899100,EXTRACAO MINERAIS NAO-METALICOS NAO ESPECIFICADOS ANTERIORMENTE,10,Risco remoto de envolvimento com atividades ilIcitas
899101,EXTRACAO DE GRAFITA,10,Risco remoto de envolvimento com atividades ilIcitas
899102,EXTRACAO DE QUARTZO,10,Risco remoto de envolvimento com atividades ilIcitas
899103,EXTRACAO DE AMIANTO,10,Risco remoto de envolvimento com atividades ilIcitas
899199,EXTRACAO OUTROS MIN NAO-METALICOS NAO ESPECIFICADOS ANTERIOR,10,Risco remoto de envolvimento com atividades ilIcitas
910600,ATIVIDADES DE APOIO A EXTRACAO DE PETROLEO E GAS NATURAL,80,Alto risco de envolvimento com corrupCAo em contratos pUblicos
990400,ATIVIDADES APOIO A EXTRACAO MINERAIS EXCETO PETROLEO GAS NATURAL,10,Risco remoto de envolvimento com atividades ilIcitas
990401,ATIVIDADES DE APOIO A EXTRACAO DE MINERIO DE FERRO,10,Risco remoto de envolvimento com atividades ilIcitas
990402,ATIVIDADES APOIO A EXTRACAO DE MINERAIS METALICOS NAO-FERROSOS,10,Risco remoto de envolvimento com atividades ilIcitas
990403,ATIVIDADES DE APOIO A EXTRACAO DE MINERAIS NAO-METALICOS,10,Risco remoto de envolvimento com atividades ilIcitas
1011200,"ABATE DE RESES, EXCETO SUINOS",10,Risco remoto de envolvimento com atividades ilIcitas
1011201,FRIGORIFICO - ABATE DE BOVINOS,10,Risco remoto de envolvimento com atividades ilIcitas
1011202,FRIGORIFICO - ABATE DE EQUINOS,10,Risco remoto de envolvimento com atividades ilIcitas
1011203,FRIGORIFICO - ABATE DE OVINOS E CAPRINOS,10,Risco remoto de envolvimento com atividades ilIcitas
1011204,FRIGORIFICO - ABATE DE BUFALINOS,10,Risco remoto de envolvimento com atividades ilIcitas
1011205,"MATADOURO - ABATE DE RESES SOB CONTRATO, EXCETO ABATE DE SUINOS",10,Risco remoto de envolvimento com atividades ilIcitas
1012100,"ABATE DE SUINOS, AVES E OUTROS PEQUENOS ANIMAIS",10,Risco remoto de envolvimento com atividades ilIcitas
1012101,ABATE DE AVES,10,Risco remoto de envolvimento com atividades ilIcitas
1012102,ABATE DE PEQUENOS ANIMAIS,10,Risco remoto de envolvimento com atividades ilIcitas
1012103,FRIGORIFICO - ABATE DE SUINOS,10,Risco remoto de envolvimento com atividades ilIcitas
1012104,MATADOURO - ABATE DE SUINOS SOB CONTRATO,10,Risco remoto de envolvimento com atividades ilIcitas
1013900,FABRICACAO DE PRODUTOS DE CARNE,10,Risco remoto de envolvimento com atividades ilIcitas
1013901,FABRICACAO DE PRODUTOS DE CARNE,10,Risco remoto de envolvimento com atividades ilIcitas
1013902,PREPARACAO DE SUBPRODUTOS DO ABATE,10,Risco remoto de envolvimento com atividades ilIcitas
1020100,PRESERVACAO DO PESCADO E FABRICACAO DE PRODUTOS DO PESCADO,10,Risco remoto de envolvimento com atividades ilIcitas
1020101,"PRESERVACAO DE PEIXES, CRUSTACEOS E MOLUSCOS",10,Risco remoto de envolvimento com atividades ilIcitas
1020102,"FABRICACAO DE CONSERVAS DE PEIXES, CRUSTACEOS E MOLUSCOS",10,Risco remoto de envolvimento com atividades ilIcitas
1031700,FABRICACAO DE CONSERVAS DE FRUTAS,10,Risco remoto de envolvimento com atividades ilIcitas
1032500,FABRICACAO DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS,10,Risco remoto de envolvimento com atividades ilIcitas
1032501,FABRICACAO DE CONSERVAS DE PALMITO,10,Risco remoto de envolvimento com atividades ilIcitas
1032599,FABRICACAO CONSERVAS DE LEGUMES E OUTROS VEGETAIS EXCETO PALMITO,10,Risco remoto de envolvimento com atividades ilIcitas
1033300,"FABRICACAO DE SUCOS DE FRUTAS, HORTALICAS E LEGUMES",10,Risco remoto de envolvimento com atividades ilIcitas
1033301,"FABRICACAO DE SUCOS CONCENTRADOS DE FRUTAS, HORTALICAS E LEGUMES",10,Risco remoto de envolvimento com atividades ilIcitas
1033302,FABRICACAO SUCOS FRUTAS HORTALICAS E LEGUMES EXCETO CONCENTRADOS,10,Risco remoto de envolvimento com atividades ilIcitas
1041400,"FABRICACAO DE OLEOS VEGETAIS EM BRUTO, EXCETO OLEO DE MILHO",10,Risco remoto de envolvimento com atividades ilIcitas
1042200,"FABRICACAO DE OLEOS VEGETAIS REFINADOS, EXCETO OLEO DE MILHO",10,Risco remoto de envolvimento com atividades ilIcitas
1043100,FABRICACAO MARGRNA OUTR GORDURA VEGET OLEOS NAO-COMEST ANIMAL,10,Risco remoto de envolvimento com atividades ilIcitas
1051100,PREPARACAO DO LEITE,10,Risco remoto de envolvimento com atividades ilIcitas
1052000,FABRICACAO DE LATICINIOS,10,Risco remoto de envolvimento com atividades ilIcitas
1053800,FABRICACAO DE SORVETES E OUTROS GELADOS COMESTIVEIS,10,Risco remoto de envolvimento com atividades ilIcitas
1061900,BENEFICIAMENTO DE ARROZ E FABRICACAO DE PRODUTOS DO ARROZ,10,Risco remoto de envolvimento com atividades ilIcitas
1061901,BENEFICIAMENTO DE ARROZ,10,Risco remoto de envolvimento com atividades ilIcitas
1061902,FABRICACAO DE PRODUTOS DO ARROZ,10,Risco remoto de envolvimento com atividades ilIcitas
1062700,MOAGEM DE TRIGO E FABRICACAO DE DERIVADOS,10,Risco remoto de envolvimento com atividades ilIcitas
1063500,FABRICACAO DE FARINHA DE MANDIOCA E DERIVADOS,10,Risco remoto de envolvimento com atividades ilIcitas
1064300,"FABRICACAO FARINHA DE MILHO E DERIVADOS, EXCETO OLEOS DE MILHO",10,Risco remoto de envolvimento com atividades ilIcitas
1065100,FABRICACAO DE AMIDOS E FECULAS DE VEGETAIS E DE OLEOS DE MILHO,10,Risco remoto de envolvimento com atividades ilIcitas
1065101,FABRICACAO DE AMIDOS E FECULAS DE VEGETAIS,10,Risco remoto de envolvimento com atividades ilIcitas
1065102,FABRICACAO DE OLEO DE MILHO EM BRUTO,10,Risco remoto de envolvimento com atividades ilIcitas
1065103,FABRICACAO DE OLEO DE MILHO REFINADO,10,Risco remoto de envolvimento com atividades ilIcitas
1066000,FABRICACAO DE ALIMENTOS PARA ANIMAIS,10,Risco remoto de envolvimento com atividades ilIcitas
1069400,MOAGEM E FABRICACAO PROD ORIGEM VEGETAL NAO ESPECI ANTERIORMENTE,10,Risco remoto de envolvimento com atividades ilIcitas
1071600,FABRICACAO DE ACUCAR EM BRUTO,10,Risco remoto de envolvimento com atividades ilIcitas
1072400,FABRICACAO DE ACUCAR REFINADO,10,Risco remoto de envolvimento com atividades ilIcitas
1072401,FABRICACAO DE ACUCAR DE CANA REFINADO,10,Risco remoto de envolvimento com atividades ilIcitas
1072402,FABRICACAO DE ACUCAR DE CEREAIS (DEXTROSE) E DE BETERRABA,10,Risco remoto de envolvimento com atividades ilIcitas
1081300,TORREFACAO E MOAGEM DE CAFE,10,Risco remoto de envolvimento com atividades ilIcitas
